Breed	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
Angus	100	78	73	92	96	99	97	72	69	81	86	49	97	78	93	94	71	98	96	78	90	72	92	90	75	92	75	96	96	98	95	88	47	93	79	87
Angus	94	76	76	86	95	97	94	72	71	83	86	46	93	75	88	91	65	96	99	80	87	72	94	90	79	89	78	97	94	96	93	89	12	91	81	85
Angus	98	73	77	87	93	92	94	70	66	76	85	40	97	71	86	92	60	94	96	84	92	80	96	94	82	89	83	96	95	97	92	89	6	90	78	85
Angus	91	80	72	90	97	98	100	73	68	79	83	43	96	76	88	94	61	100	95	82	94	72	94	94	86	91	84	95	95	97	93	89	47	92	80	85
Angus	94	60	71	90	97	98	97	73	66	82	88	47	98	80	91	95	57	96	99	86	94	87	90	61	88	94	87	96	93	97	91	88	6	90	79	85
Angus	94	76	74	84	98	100	98	65	67	78	83	43	95	80	88	94	55	99	100	87	88	36	90	88	83	89	75	65	66	69	66	61	6	63	54	56
Angus	95	66	63	88	97	96	98	74	72	83	89	50	91	87	90	94	66	99	99	85	94	31	83	95	79	95	79	89	89	91	87	82	4	83	72	76
Bison	6	52	61	10	96	96	98	70	68	80	86	43	97	94	96	96	73	99	99	85	93	78	93	93	86	97	80	96	98	98	94	98	6	98	96	NA
Bison	3	70	69	8	95	96	97	72	71	82	87	46	97	91	91	94	69	95	97	86	92	80	95	91	84	94	79	96	98	97	92	91	48	96	87	85
Bison	6	68	74	7	96	96	96	66	71	83	88	45	96	81	91	92	65	98	99	83	93	75	96	93	86	94	78	95	97	97	93	88	90	94	80	89
Bison	3	75	73	5	96	97	97	73	69	83	89	49	97	89	94	94	70	99	99	85	90	76	95	36	87	94	82	88	97	97	91	97	3	100	97	NA
Bison	5	66	71	9	96	96	98	69	66	35	82	42	98	88	95	95	72	99	94	85	93	79	91	93	84	98	84	93	97	98	93	98	3	100	97	NA
Bison	3	63	66	12	96	96	97	72	67	81	87	43	98	91	92	94	70	96	96	89	90	81	94	88	85	94	75	91	99	98	93	92	54	96	86	86
Bison	4	62	69	7	97	99	94	72	72	82	87	46	96	77	90	94	72	96	98	85	92	77	91	91	83	93	83	92	98	97	93	92	48	96	88	85
Charloais	99	79	71	88	97	98	98	72	69	83	89	48	97	94	96	97	75	98	97	85	93	80	93	93	84	93	81	96	97	98	95	84	47	90	75	87
Charloais	100	76	72	88	94	97	98	71	74	82	86	44	96	71	88	92	64	98	93	52	90	74	94	94	84	92	83	94	94	96	91	83	48	89	74	83
Charloais	98	74	75	89	96	98	99	63	66	79	85	42	97	74	88	92	70	100	97	85	94	75	92	91	84	93	81	95	93	97	93	84	10	88	74	84
Charloais	100	74	71	89	96	98	98	72	68	84	90	47	96	73	91	92	68	97	99	47	82	78	92	91	83	94	83	96	95	97	92	85	47	91	76	84
Charloais	95	78	67	91	97	98	99	66	67	79	87	45	97	71	86	92	71	97	62	86	92	78	94	94	84	87	85	96	95	97	94	86	7	87	74	84
Charloais	100	75	70	87	95	97	97	69	69	80	85	43	95	86	91	94	71	98	98	86	93	82	92	94	89	80	86	95	93	97	93	86	46	92	78	86
Charloais	97	76	71	88	94	95	90	67	66	79	86	41	98	77	90	94	65	96	98	85	90	76	87	86	84	92	82	27	27	25	25	22	12	24	19	18
Nellore	96	83	84	95	97	98	98	73	83	87	87	58	98	69	96	96	79	99	98	92	95	74	97	97	91	97	68	90	93	90	90	94	39	95	88	88
Nellore	99	87	77	99	97	99	91	89	83	94	95	66	98	97	97	97	81	100	98	87	95	80	87	95	91	97	92	93	84	89	89	98	23	94	89	79
Nellore	94	80	83	94	97	99	98	85	83	93	96	65	98	77	98	98	82	100	85	90	95	64	97	95	85	97	91	94	90	89	88	89	60	92	86	80
Nellore	96	81	83	93	94	95	95	68	74	65	82	41	98	88	96	72	81	100	99	91	96	86	97	96	92	96	71	97	95	98	93	91	46	96	92	91
Nellore	100	88	72	100	87	95	97	46	75	91	92	49	98	44	91	95	76	100	99	91	97	86	97	97	91	98	91	95	95	96	88	93	52	96	89	90
Nellore	98	89	3	100	91	97	98	81	83	58	82	36	96	77	92	95	77	98	97	87	92	84	94	95	90	97	88	95	94	97	88	81	37	93	88	88
